time,isin,yield,vol
11:08:55 AM,PIBL1220L480,1.07,4.002
11:06:21 AM,PIBL1221J427,1.62,4.05
11:06:19 AM,PIBL1221J427,1.62,1.01
11:05:58 AM,PIBL1221D174,1.3855,2.2
11:05:46 AM,PIBL1221D174,1.3855,8.056
11:04:28 AM,PIBL1221J427,1.62,50.56
11:03:19 AM,PIBD0322G247,1.56,6.6
11:03:15 AM,PIID0525H130,3.1,10
11:02:45 AM,PIBL1221A042,1.12,17
11:02:28 AM,PIBL1221D174,1.385,6.8
11:02:21 AM,PIBL1221D174,1.385,5.03
11:02:17 AM,PIBL1221D174,1.385,1.45
11:02:12 AM,PIBL1221D174,1.385,20.09
11:02:06 AM,PIBL1221D174,1.385,1
11:00:09 AM,PIBD1031G662,4.75,16.5
11:00:07 AM,PIBL1221B078,1.24,2
10:59:53 AM,PIBL1221A042,1.125,2.03
10:59:53 AM,PIBL1221E217,1.505,0.001
10:58:06 AM,PIBD1027E617,3.975,43.385
10:57:59 AM,PIBD1031G662,4.78,10
10:51:54 AM,PIBL1221A033,1.12,4
10:51:27 AM,PIBL1221E217,1.505,21.126
10:49:27 AM,PIBL1220L480,1.07,10
10:48:53 AM,PIBL1221J427,1.605,2.98
10:46:33 AM,PIBL1221C102,1.38,2.5
10:44:26 AM,PIBL1221A024,1.13,2.523
10:44:09 AM,PIBL1221A033,1.12,1
10:42:38 AM,PIBL1220L505,1.075,1.095
10:42:12 AM,PIBL1221A024,1.13,1.3023
10:40:57 AM,PIBD2033C206,4.9,0.5
10:40:17 AM,PIBL1221J427,1.62,5.06
10:38:43 AM,PIBD2537H103,5.05,16
10:37:14 AM,PIBD1031G662,4.75,10
10:37:02 AM,PIBD0728D649,4.1,10
10:36:35 AM,PIBD0526D772,3.675,10
10:35:19 AM,PIBL1220L480,1.07,0.5
10:35:16 AM,PIBL1221A042,1.12,2.003
10:35:07 AM,PIBD0728D649,4.15,10
10:34:34 AM,PIBL1221A024,1.12,2.5
10:33:27 AM,PIBD1031G662,4.79,8
10:32:53 AM,PIBL1221J436,1.615,1.5
10:32:52 AM,PIBL1221J436,1.615,1.5
10:32:05 AM,PIID0323B101,2.11,1
10:32:00 AM,PIID0323B101,2.11,0.1
10:31:57 AM,PIBL1220L480,1.07,1
10:30:02 AM,PIBL1221A033,1.12,5.01
10:28:51 AM,PIBD1027E617,3.97,0.5
10:28:47 AM,PIBD1027E617,3.97,2
10:28:43 AM,PIBD1027E617,3.97,0.5
10:25:25 AM,PIBL1221A024,1.131,3.005
10:25:03 AM,PIBD1031G662,4.8,100
10:24:36 AM,PIBL1221A042,1.125,1
10:24:01 AM,PIBL1221F225,1.52,1
10:24:00 AM,PIBL1221A024,1.13,0.53
10:23:53 AM,PIBD1031G662,4.8,50
10:22:31 AM,PIBL1221G279,1.525,5.04
10:22:22 AM,PIBL1221E208,1.51,100
10:22:08 AM,PIBL1221A042,1.12,2.375
10:20:19 AM,PIBL1221D156,1.398,6.228
10:19:46 AM,PIBL1221A015,1.12,10
10:19:20 AM,PIID0525H130,3.08,9.07
10:18:42 AM,PIBD0522A747,1.4625,"2,000.00"
10:17:22 AM,PIBL1220L480,1.07,1.008
10:17:08 AM,PIBL1221B050,1.18,100
10:16:29 AM,PIBL1221A042,1.125,2
10:16:22 AM,PIBD1025I608,3.27,200
10:15:18 AM,PIBL1221B050,1.18,100
10:14:18 AM,PIBD1028C635,4.45,15
10:14:01 AM,PIBD1025I608,3.27,100
10:13:44 AM,PIBD1027E617,4,100
10:12:57 AM,PIID0522L114,2.05,1
10:12:55 AM,PIBL1221A042,1.135,50
10:12:50 AM,PIBL0621F030,1.1,0.501
10:12:18 AM,PIBL1221A042,1.125,6
10:12:08 AM,PIBD2540I116,5,6.2
10:11:59 AM,PIID0525H130,3.15,0.7
10:11:16 AM,PIBL1220L480,1.07,50
10:08:45 AM,PIBL1221G304,1.565,3.5
10:08:44 AM,PIBL1220K472,1.055,2
10:08:17 AM,PIBL1221D174,1.385,1
10:07:33 AM,PIBL1220K472,1.055,4
10:07:18 AM,PIBL1220K472,1.055,4
10:07:00 AM,PIBL1220K472,1.055,3
10:06:39 AM,PIBL1220K445,1.064,555.146
10:06:38 AM,PIBL1220K472,1.055,3
