"Domestic No.","Global ID","Local ID","BMT","Coupon","Issue Date","Maturity","Days","Years","D.Vol(MM)","Traded Time","Last Price","Last Yield","W. Ave. Price","W. Ave. Yield","Bid Price","Bid Yield","Offer Price","Offer Yield","Open Price","High Price","Low Price","Close Price","Open Yield","High Yield","Low Yield","Close Yield",
"PIBD2534K062","RPGB 9 1/4 11/05/34","FXTN 25-06","","9.2500","2009-11-05","2034-11-05","4688","12.835","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"PIBD2535I071","RPGB 8 09/30/35","FXTN 25-07","","8.0000","2010-09-30","2035-09-30","5017","13.736","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"PIBD2535L086","RPGB 8 1/8 12/16/35","FXTN 25-08","","8.1250","2010-12-16","2035-12-16","5094","13.947","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"PIBD2536I097","RPGB 7 5/8 09/29/36","FXTN 25-09","","7.6250","2011-09-29","2036-09-29","5382","14.735","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"PIBD2037E214","RPGB 5 1/4 05/18/37","FXTN 20-21","","5.2500","2017-05-18","2037-05-18","5613","15.368","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"PIBD2537H103","RPGB 5 3/4 08/16/37","FXTN 25-10","","5.7500","2012-08-16","2037-08-16","5703","15.614","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"PIID2537J015","RPGB 6 1/8 10/24/37","RTB 25-01","","6.1250","2012-10-24","2037-10-24","5772","15.803","4.470000","10:17:49 AM","112.4730490","4.9800","112.4730490","4.9800","-","-","-","-","112.4730490","112.4730490","112.4730490","112.4730490","4.9800","4.9800","4.9800","4.9800",
"PIBD2038B224","RPGB 6 1/2 02/22/38","FXTN 20-22","","6.5000","2018-02-22","2038-02-22","5893","16.134","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"PIBD2039A232","RPGB 6 3/4 01/24/39","FXTN 20-23","","6.7500","2019-01-24","2039-01-24","6229","17.054","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"PIBD2540I116","RPGB 4 5/8 09/09/40","FXTN 25-11","","4.6250","2015-09-09","2040-09-09","6823","18.680","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"PIBD2041G241","RPGB 5 1/8 07/15/41","FXTN 20-24","","5.1250","2021-07-15","2041-07-15","7132","19.526","2.000000","2:00:32 PM","101.5452890","5.0000","101.5452890","5.0000","-","-","-","-","101.5452890","101.5452890","101.5452890","101.5452890","5.0000","5.0000","5.0000","5.0000",
